Date,TempMean,TempMin,TempMax,Radiation,Precipitation,VapPressure,Windspeed
04/02/1985,-11.6,-18.0,-5.2,12390,0.0,0.15,2.2
05/02/1985,-6.9,-9.9,-4.3,5490,4.6,0.31,1.5
06/02/1985,-9.5,-12.1,-6.6,8380,0.0,0.24,2.8
07/02/1985,-12.6,-15.0,-9.8,12060,0.0,0.17,3.6
08/02/1985,-14.4,-21.3,-7.6,14430,0.0,0.15,1.7
09/02/1985,-12.9,-19.8,-5.7,10800,0.0,0.18,2.8
10/02/1985,-3.1,-6.7,0.1,4710,13.1,0.44,3.5
11/02/1985,-0.2,-4.7,1.4,2840,25.5,0.58,2.7
12/02/1985,-6.5,-7.2,-5.1,7080,8.2,0.32,8.3
13/02/1985,-9.3,-11.4,-6.8,11970,0.6,0.24,5.9
14/02/1985,-8.8,-11.1,-8.0,10160,1.8,0.26,5.3
15/02/1985,-15.3,-19.4,-11.9,16010,0.0,0.15,2.9
16/02/1985,-7.3,-16.1,0.6,14650,0.0,0.32,4.6
17/02/1985,-4.1,-7.2,-0.9,16390,0.0,0.37,3.9
18/02/1985,-3.4,-10.5,3.6,9590,0.4,0.41,3.7
19/02/1985,-4.0,-9.4,0.1,14250,0.0,0.32,2.0
20/02/1985,-0.3,-6.6,6.2,15200,0.0,0.44,2.5
21/02/1985,4.7,0.4,9.3,5160,5.4,0.71,4.8
22/02/1985,10.4,9.1,11.9,1850,15.1,1.2,4.6
23/02/1985,13.4,11.5,15.0,3630,50.0,1.36,4.4
24/02/1985,8.2,3.1,14.0,2600,6.4,1.01,3.1
25/02/1985,3.3,-0.4,6.4,9010,0.0,0.58,1.5
26/02/1985,4.4,-2.0,11.6,13580,4.5,0.65,2.8
27/02/1985,-0.7,-4.2,1.7,14010,1.8,0.39,2.7
28/02/1985,0.0,-5.6,7.4,17550,0.0,0.39,3.1
01/03/1985,3.4,1.1,5.5,4100,2.3,0.61,3.6
02/03/1985,2.9,-1.7,8.1,17430,0.0,0.53,2.5
03/03/1985,2.6,-1.5,7.9,12810,5.5,0.5,4.6
04/03/1985,9.9,3.0,14.0,2040,17.3,0.96,7.0
05/03/1985,-2.2,-4.9,2.0,12920,0.0,0.22,5.7
06/03/1985,-3.0,-7.2,2.6,18590,0.0,0.27,2.4
07/03/1985,3.3,-1.4,8.9,2530,3.8,0.56,4.1
08/03/1985,8.5,4.2,11.9,11780,1.4,0.84,2.9
09/03/1985,5.4,-1.6,12.4,19390,0.0,0.5,3.0
10/03/1985,8.2,0.6,16.5,18960,0.0,0.62,3.1
11/03/1985,10.7,7.5,14.7,3640,23.4,1.1,4.2
12/03/1985,5.2,2.0,9.1,19490,0.0,0.46,5.7
13/03/1985,3.3,1.3,5.8,5460,3.2,0.55,2.0
14/03/1985,4.7,-0.5,9.9,18170,0.0,0.54,3.3
15/03/1985,2.7,-3.1,8.2,20340,0.0,0.47,1.4
16/03/1985,5.2,-0.9,13.5,17290,0.0,0.52,3.7
17/03/1985,0.7,-5.2,5.0,19950,0.6,0.37,3.9
18/03/1985,-1.0,-7.4,6.4,21330,0.0,0.29,1.7
19/03/1985,8.9,0.9,17.9,18530,1.1,0.65,4.6
20/03/1985,7.5,2.0,13.2,20780,1.5,0.67,2.8
21/03/1985,3.9,-0.8,9.1,18280,0.0,0.35,4.3
22/03/1985,5.2,1.1,9.7,9560,0.0,0.56,3.8
23/03/1985,7.1,4.8,11.3,4270,3.4,0.88,2.2
24/03/1985,4.1,1.7,6.3,10050,4.1,0.66,3.7
25/03/1985,5.6,2.0,11.0,16300,0.0,0.66,2.1
26/03/1985,7.9,-0.2,16.4,22190,0.0,0.68,3.5
27/03/1985,14.7,11.9,19.0,7460,7.9,1.19,6.3
28/03/1985,19.6,16.0,24.2,10730,2.1,1.76,5.9
29/03/1985,13.4,7.9,20.0,15190,8.7,1.02,2.8
30/03/1985,5.5,3.4,8.9,3770,11.6,0.76,5.0
31/03/1985,7.5,2.6,14.5,10690,9.0,0.8,7.1
01/04/1985,2.6,-0.9,5.8,10670,0.0,0.38,6.2
02/04/1985,4.8,-2.5,10.5,22980,1.1,0.45,3.4
03/04/1985,10.7,7.3,14.4,22820,0.2,0.66,4.6
04/04/1985,13.1,4.4,21.1,15980,2.6,1.01,4.7
05/04/1985,9.4,2.5,18.1,2180,30.6,1.08,3.4
06/04/1985,5.1,2.3,9.2,17330,2.1,0.54,6.5
07/04/1985,4.8,0.8,10.4,21210,1.2,0.49,3.4
08/04/1985,2.1,-1.6,6.3,20880,3.5,0.42,3.8
09/04/1985,0.1,-4.8,5.1,18770,0.0,0.33,2.5
10/04/1985,3.4,-2.9,9.2,13470,0.0,0.5,4.2
11/04/1985,11.2,4.0,18.7,22350,0.0,0.97,1.6
12/04/1985,14.7,7.5,21.8,20620,0.0,1.24,2.3
13/04/1985,16.0,10.8,21.9,20120,0.7,1.29,3.4
14/04/1985,15.4,11.4,20.3,15470,5.3,1.43,2.2
15/04/1985,15.5,10.6,20.2,15880,1.3,1.46,1.2
16/04/1985,13.3,5.7,19.7,25030,0.0,1.05,3.3
17/04/1985,12.4,5.4,20.8,25400,0.0,0.84,3.6
18/04/1985,20.2,15.6,26.0,21820,0.0,1.42,5.3
19/04/1985,21.5,16.6,26.6,23760,0.0,1.43,4.2
20/04/1985,20.7,15.5,25.8,20780,0.0,1.49,3.8
21/04/1985,21.4,15.9,26.9,24030,0.0,1.5,3.3
22/04/1985,21.7,17.6,26.2,20600,0.4,1.52,3.3
23/04/1985,20.2,17.5,23.8,15850,3.6,1.55,4.7
24/04/1985,16.1,12.6,18.7,11850,9.5,1.41,3.9
25/04/1985,15.7,7.6,22.7,24240,0.1,1.17,1.9
26/04/1985,18.2,10.2,25.5,22310,0.1,1.32,1.9
27/04/1985,16.7,13.7,21.5,10070,7.3,1.51,2.1
28/04/1985,14.0,9.2,19.4,24410,0.0,1.0,3.3
29/04/1985,14.0,7.7,20.8,28030,0.0,0.89,2.6
30/04/1985,16.2,8.8,22.4,21010,0.1,1.06,1.5
01/05/1985,14.6,12.7,17.1,2820,24.5,1.44,3.2
02/05/1985,13.5,9.4,18.9,22140,2.7,0.9,4.9
03/05/1985,12.9,5.7,19.2,28140,0.0,0.74,2.0
04/05/1985,14.5,7.9,20.9,26690,0.0,0.92,3.1
05/05/1985,18.5,12.7,24.0,23300,0.1,1.26,4.3
06/05/1985,19.3,15.1,24.0,18770,3.5,1.4,4.2
07/05/1985,15.8,8.7,21.1,27030,0.0,1.07,1.3
08/05/1985,17.0,9.4,22.6,22390,0.0,1.11,1.4
09/05/1985,18.1,10.7,24.5,28520,0.0,1.16,2.6
10/05/1985,19.2,13.1,25.0,24150,0.0,1.41,3.0
11/05/1985,20.3,15.7,24.9,17480,0.3,1.72,4.1
12/05/1985,22.2,18.4,27.4,21650,3.7,1.82,5.0
13/05/1985,20.0,13.3,25.6,24400,0.0,1.47,2.2
14/05/1985,22.3,18.6,28.8,19810,9.3,2.0,3.4
15/05/1985,19.2,16.6,21.4,18740,9.0,1.6,3.7
16/05/1985,14.6,12.2,16.1,6260,0.8,1.14,3.1
17/05/1985,11.8,9.3,13.4,16160,0.0,1.01,4.7
18/05/1985,13.7,6.9,20.7,22180,0.2,0.98,3.3
19/05/1985,16.8,8.4,24.5,27200,0.0,1.12,3.5
20/05/1985,19.5,15.9,24.6,22170,5.7,1.47,4.0
21/05/1985,16.5,11.4,21.3,29060,0.5,1.17,2.6
22/05/1985,14.3,10.1,18.4,17050,0.0,0.92,3.6
23/05/1985,15.8,8.5,22.4,30030,0.0,0.89,2.8
24/05/1985,17.3,8.4,24.2,29510,0.0,1.07,1.6
25/05/1985,19.5,10.7,26.2,29390,0.0,1.22,2.0
26/05/1985,22.4,16.3,28.1,27080,0.0,1.5,4.3
27/05/1985,21.4,15.3,27.3,16870,23.1,1.94,3.4
28/05/1985,17.0,13.6,21.6,29110,0.0,1.22,3.2
29/05/1985,17.5,11.5,23.8,26450,0.0,1.22,2.8
30/05/1985,21.2,16.6,26.9,21010,10.8,1.85,3.5
31/05/1985,22.7,19.4,26.8,29310,35.9,1.78,4.8
01/06/1985,19.8,13.7,24.7,28260,0.0,1.47,2.3
02/06/1985,21.7,17.2,27.0,22410,4.2,1.88,1.5
03/06/1985,17.9,12.6,24.1,28960,10.3,1.3,2.9
04/06/1985,15.2,13.3,16.9,6490,26.5,1.35,2.9
05/06/1985,17.3,13.2,22.2,17810,0.0,1.4,2.1
06/06/1985,17.8,12.3,23.3,24160,0.0,1.23,2.5
07/06/1985,20.5,16.0,25.4,21920,0.0,1.65,2.0
08/06/1985,22.9,16.7,29.3,26330,0.0,1.97,3.1
09/06/1985,25.2,21.8,28.9,28290,0.0,1.86,4.0
10/06/1985,21.7,16.7,26.6,29400,0.0,1.29,2.0
11/06/1985,15.1,11.5,19.0,2430,40.9,1.4,3.5
12/06/1985,12.5,10.7,15.7,15680,0.0,0.97,3.5
13/06/1985,13.9,7.0,19.7,27510,0.1,1.0,2.8
14/06/1985,16.6,11.3,21.9,22540,2.0,1.17,2.4
15/06/1985,17.2,14.6,22.9,12590,16.9,1.68,3.3
16/06/1985,20.0,15.2,24.7,25390,0.0,1.7,2.9
17/06/1985,21.2,17.3,26.2,14750,8.5,1.91,3.4
18/06/1985,17.8,15.2,20.8,21990,3.9,1.32,3.7
19/06/1985,16.5,12.0,20.7,24150,0.0,1.3,2.5
20/06/1985,17.5,11.3,23.0,22900,0.0,1.33,1.8
21/06/1985,21.0,15.8,27.1,23610,3.0,1.7,4.0
22/06/1985,21.8,19.0,24.6,22700,9.4,1.75,4.4
23/06/1985,21.5,15.2,28.6,26310,1.8,1.87,3.3
24/06/1985,22.7,18.7,27.2,22730,2.9,2.14,2.4
25/06/1985,22.6,16.9,28.2,28980,0.0,1.92,2.0
26/06/1985,23.4,16.9,29.4,26490,0.0,1.95,1.6
27/06/1985,22.1,17.0,27.3,28430,0.0,1.58,3.0
28/06/1985,20.4,14.2,25.8,29700,0.0,1.44,2.2
29/06/1985,21.1,14.6,25.7,23840,0.0,1.54,1.5
30/06/1985,21.6,16.2,27.1,26570,0.2,1.61,2.2
01/07/1985,21.2,16.8,25.9,23990,3.8,1.81,1.9
02/07/1985,20.8,15.1,26.6,23070,10.3,1.96,1.6
03/07/1985,22.1,17.9,26.8,27860,0.5,1.88,1.5
04/07/1985,22.8,16.2,27.9,25240,0.3,1.92,3.3
05/07/1985,22.8,20.1,25.7,24950,0.6,1.82,3.7
06/07/1985,20.9,16.2,25.4,20760,0.0,1.68,2.6
07/07/1985,23.3,16.4,28.9,26220,0.0,1.93,2.8
08/07/1985,26.8,22.1,31.9,27180,0.0,2.27,4.4
09/07/1985,26.6,22.1,30.4,22540,21.6,2.44,2.1
10/07/1985,22.9,19.2,26.2,25630,0.5,2.1,3.0
11/07/1985,21.3,15.7,25.6,21940,0.0,1.62,1.7
12/07/1985,23.3,17.3,28.3,22410,0.0,2.07,1.3
13/07/1985,24.5,20.2,30.7,18810,10.2,2.37,3.6
14/07/1985,26.4,24.5,28.1,12150,3.2,2.68,3.2
15/07/1985,24.1,21.2,27.5,22180,20.1,2.34,2.2
16/07/1985,20.8,15.2,25.1,24450,0.0,1.63,1.9
17/07/1985,19.8,13.0,25.2,29390,0.0,1.5,1.7
18/07/1985,21.3,15.1,26.8,28400,0.0,1.69,1.5
19/07/1985,23.3,16.2,28.7,24220,0.0,2.08,1.8
20/07/1985,23.9,21.5,26.8,15330,4.0,2.49,1.0
21/07/1985,22.2,18.4,26.2,16080,1.9,2.24,1.3
22/07/1985,22.3,18.0,26.8,26600,0.0,1.87,2.5
23/07/1985,19.4,13.5,25.4,29010,0.0,1.31,2.5
